index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_duration,class_size,female_ratio
4174,0,Yes,None,Visual,1IG7DE,Female,Yes,85.0,10.0,7.0,,9.0,91.0,23:00,7:00,walk,yellow,8.0,17.0,0.4117647058823529
4176,0,No,Sports,Auditory,2I9X51,Male,Yes,74.0,10.0,13.0,15.0,20.0,93.0,23:00,7:00,walk,blue,8.0,23.0,0.5652173913043478
4177,0,No,Sports,Auditory,P5MZE4,Female,No,65.0,10.0,17.0,16.0,8.0,95.0,22:30,6:30,private transport,red,8.0,27.0,0.6296296296296297
4178,2,No,None,Visual,W9GWGO,Male,Yes,73.0,14.0,5.0,16.0,7.0,93.0,22:00,6:00,private transport,red,8.0,19.0,0.2631578947368421
4179,1,Yes,Clubs,Auditory,QS7Y1Q,Female,No,53.0,12.0,13.0,16.0,9.0,90.0,22:00,6:00,private transport,blue,8.0,25.0,0.52
4180,1,No,Clubs,Visual,OZODLN,Male,No,47.0,29.0,1.0,15.0,8.0,90.0,22:30,6:30,private transport,yellow,8.0,30.0,0.03333333333333333
4181,0,No,Clubs,Visual,GS9HI9,Male,Yes,66.0,16.0,5.0,15.0,5.0,94.0,21:00,5:00,public transport,green,8.0,21.0,0.23809523809523808
4182,1,No,Clubs,Auditory,NKHE72,Female,Yes,57.0,27.0,0.0,15.0,18.0,97.0,23:00,7:00,walk,blue,8.0,27.0,0.0
4183,2,No,Sports,Visual,EUN327,Male,No,79.0,18.0,1.0,16.0,6.0,92.0,22:00,6:00,private transport,green,8.0,19.0,0.05263157894736842
4184,2,No,Clubs,Auditory,UQYMZ9,Female,No,53.0,12.0,7.0,15.0,11.0,95.0,21:30,5:30,public transport,yellow,8.0,19.0,0.3684210526315789
4185,1,No,None,Visual,7Z077S,Male,Yes,73.0,22.0,2.0,16.0,13.0,97.0,21:30,5:30,public transport,black,8.0,24.0,0.08333333333333333
4186,1,Yes,Clubs,Visual,PI0W8U,Male,Yes,57.0,25.0,2.0,15.0,7.0,99.0,22:30,6:30,private transport,white,8.0,27.0,0.07407407407407407
4187,1,No,Sports,Auditory,VO28WZ,Male,No,49.0,17.0,8.0,16.0,14.0,85.0,22:30,6:30,private transport,red,8.0,25.0,0.32
4188,2,Yes,Sports,Auditory,CNT6OY,Male,No,58.0,11.0,5.0,15.0,13.0,96.0,23:00,7:00,walk,white,8.0,16.0,0.3125
4189,0,No,Arts,Visual,GKC9CA,Female,Yes,71.0,13.0,8.0,15.0,9.0,91.0,23:00,6:00,private transport,blue,7.0,21.0,0.38095238095238093
4190,1,No,None,Visual,O2JB5C,Female,Yes,77.0,14.0,11.0,15.0,9.0,95.0,23:00,7:00,walk,yellow,8.0,25.0,0.44
4191,2,No,Clubs,Auditory,EAL6H6,Female,Yes,55.0,10.0,8.0,15.0,10.0,98.0,21:30,5:30,public transport,blue,8.0,18.0,0.4444444444444444
4192,2,No,None,Visual,UBO5AE,Male,No,79.0,11.0,6.0,15.0,8.0,95.0,21:00,5:00,public transport,yellow,8.0,17.0,0.35294117647058826
4193,1,No,Arts,Auditory,VXDXA8,Male,No,48.0,19.0,11.0,15.0,7.0,99.0,22:00,6:00,private transport,red,8.0,30.0,0.36666666666666664
4194,2,Yes,Arts,Auditory,SYVQON,Female,No,47.0,4.0,19.0,15.0,14.0,68.0,0:00,6:00,private transport,green,6.0,23.0,0.8260869565217391
4195,2,No,None,Visual,USG0CY,Male,No,72.0,19.0,3.0,15.0,8.0,91.0,23:00,7:00,walk,red,8.0,22.0,0.13636363636363635
4196,2,No,Arts,Visual,7YWRQI,Female,Yes,80.0,15.0,2.0,16.0,5.0,90.0,21:00,5:00,public transport,blue,8.0,17.0,0.11764705882352941
4197,0,No,Arts,Visual,REI0T5,Female,No,76.0,8.0,19.0,16.0,19.0,95.0,21:00,5:00,public transport,white,8.0,27.0,0.7037037037037037
4198,1,No,Clubs,Auditory,QTZ9S0,Female,Yes,59.0,24.0,0.0,16.0,15.0,93.0,21:30,5:30,public transport,black,8.0,24.0,0.0
4199,1,Yes,None,Visual,XTHCYB,Male,Yes,90.0,18.0,3.0,15.0,6.0,,21:30,5:30,public transport,red,8.0,21.0,0.14285714285714285
4200,0,Yes,Sports,Auditory,2EQLUB,Female,Y,78.0,11.0,4.0,15.0,8.0,92.0,23:00,7:00,walk,red,8.0,15.0,0.26666666666666666
4201,0,No,None,Visual,USYRZQ,Female,Yes,82.0,1.0,23.0,15.0,9.0,92.0,23:00,7:00,walk,green,8.0,24.0,0.9583333333333334
4203,2,Yes,None,Visual,FXI3WS,Male,Yes,88.0,11.0,7.0,15.0,10.0,100.0,21:30,5:30,public transport,white,8.0,18.0,0.3888888888888889
4204,0,No,Sports,Visual,LWB1FF,Female,Yes,84.0,18.0,5.0,16.0,5.0,98.0,22:30,6:30,private transport,white,8.0,23.0,0.21739130434782608
4205,2,No,None,Auditory,XG3TZS,Female,No,62.0,2.0,18.0,16.0,9.0,100.0,22:00,6:00,private transport,green,8.0,20.0,0.9
4206,1,Yes,Arts,Auditory,A64UXW,Female,Yes,67.0,11.0,10.0,15.0,15.0,92.0,22:30,6:30,private transport,yellow,8.0,21.0,0.47619047619047616
4208,1,Yes,Sports,Auditory,7L5XFU,Female,Yes,69.0,18.0,3.0,15.0,9.0,93.0,21:30,5:30,public transport,blue,8.0,21.0,0.14285714285714285
4209,1,No,Clubs,Auditory,L5TVCF,Female,No,61.0,3.0,24.0,16.0,8.0,91.0,21:00,5:00,public transport,red,8.0,27.0,0.8888888888888888
4210,0,No,Sports,Auditory,P8XOO3,Male,No,74.0,18.0,2.0,16.0,9.0,99.0,22:00,6:00,private transport,blue,8.0,20.0,0.1
4211,0,No,Sports,Visual,JLQYQF,Female,No,52.0,11.0,9.0,16.0,8.0,97.0,23:00,7:00,walk,green,8.0,20.0,0.45
4212,2,Yes,Clubs,Visual,6KQPA9,Male,No,72.0,16.0,4.0,15.0,16.0,90.0,22:30,6:30,private transport,white,8.0,20.0,0.2
4213,1,Yes,Clubs,Auditory,MPGNTG,Female,Yes,86.0,11.0,6.0,15.0,6.0,98.0,21:00,5:00,public transport,white,8.0,17.0,0.35294117647058826
4214,1,No,None,Auditory,RT4R2Q,Female,Yes,50.0,17.0,8.0,16.0,10.0,98.0,22:30,6:30,private transport,green,8.0,25.0,0.32
4215,2,No,None,Visual,IMAS2T,Male,Yes,61.0,20.0,2.0,16.0,14.0,97.0,23:00,7:00,walk,green,8.0,22.0,0.09090909090909091
4217,1,No,Sports,Auditory,GWGRD2,Female,No,54.0,2.0,27.0,15.0,10.0,,22:30,6:30,private transport,red,8.0,29.0,0.9310344827586207
4218,1,Yes,Sports,Auditory,2YYRCE,Female,Y,79.0,1.0,16.0,15.0,7.0,94.0,22:30,5:30,public transport,green,7.0,17.0,0.9411764705882353
4219,0,No,Arts,Visual,1ZT4BH,Female,Yes,78.0,2.0,26.0,16.0,7.0,99.0,22:00,6:00,private transport,green,8.0,28.0,0.9285714285714286
4220,0,No,Arts,Auditory,DC660V,Male,Yes,71.0,10.0,10.0,16.0,17.0,95.0,22:00,6:00,private transport,green,8.0,20.0,0.5
4221,0,No,None,Auditory,OIYVWU,Female,Yes,65.0,23.0,4.0,16.0,7.0,93.0,21:00,5:00,public transport,green,8.0,27.0,0.14814814814814814
4222,2,Yes,None,Visual,3PMPW4,Female,No,70.0,3.0,12.0,15.0,11.0,94.0,21:00,5:00,public transport,red,8.0,15.0,0.8
4223,0,No,Clubs,Auditory,JAYNIC,Male,No,63.0,12.0,9.0,15.0,16.0,91.0,22:30,6:30,private transport,blue,8.0,21.0,0.42857142857142855
4224,2,No,Sports,Auditory,RD111V,Male,Yes,72.0,11.0,8.0,16.0,14.0,100.0,21:30,5:30,public transport,white,8.0,19.0,0.42105263157894735
4225,0,No,Clubs,Visual,L5UTSJ,Female,No,81.0,16.0,8.0,16.0,6.0,92.0,22:00,6:00,private transport,red,8.0,24.0,0.3333333333333333
4226,0,Yes,None,Visual,7BIOMN,Female,No,91.0,3.0,17.0,16.0,9.0,97.0,23:00,7:00,walk,red,8.0,20.0,0.85
4227,0,No,None,Visual,O83TYV,Female,Yes,77.0,19.0,3.0,15.0,6.0,96.0,23:00,7:00,walk,black,8.0,22.0,0.13636363636363635
4228,1,Yes,None,Visual,QI72FZ,Female,No,99.0,10.0,7.0,15.0,7.0,100.0,21:30,5:30,public transport,white,8.0,17.0,0.4117647058823529
4229,0,No,None,Auditory,VF18LD,Male,Yes,89.0,12.0,10.0,15.0,8.0,94.0,22:00,6:00,private transport,blue,8.0,22.0,0.45454545454545453
4230,1,Yes,None,Auditory,YJKPAC,Male,Yes,73.0,18.0,2.0,16.0,9.0,,21:00,5:00,public transport,white,8.0,20.0,0.1
4231,0,No,Clubs,Auditory,8TT1R1,Female,Y,78.0,23.0,0.0,15.0,9.0,97.0,21:30,5:30,public transport,yellow,8.0,23.0,0.0
4232,1,No,None,Auditory,JY3D15,Female,Yes,54.0,27.0,2.0,16.0,6.0,92.0,21:30,5:30,public transport,blue,8.0,29.0,0.06896551724137931
4233,1,No,None,Visual,DCC2KL,Male,No,81.0,16.0,9.0,,8.0,93.0,21:00,5:00,public transport,blue,8.0,25.0,0.36
4234,0,No,Clubs,Visual,7TC40J,Female,No,90.0,11.0,7.0,,6.0,,22:30,6:30,private transport,white,8.0,18.0,0.3888888888888889
4235,1,Yes,Sports,Auditory,HWQT73,Female,Yes,43.0,5.0,19.0,15.0,9.0,94.0,22:00,6:00,private transport,yellow,8.0,24.0,0.7916666666666666
4236,1,No,None,Auditory,UBPK0D,Male,Yes,68.0,27.0,1.0,16.0,14.0,,22:00,6:00,private transport,yellow,8.0,28.0,0.03571428571428571
4237,0,Yes,None,Auditory,FFYMS3,Female,No,74.0,8.0,11.0,16.0,12.0,99.0,22:00,6:00,private transport,green,8.0,19.0,0.5789473684210527
4238,1,Yes,Clubs,Visual,40C4SD,Female,No,52.0,27.0,0.0,15.0,13.0,90.0,22:00,6:00,private transport,green,8.0,27.0,0.0
4239,0,No,Clubs,Visual,IRS9DE,Female,Yes,89.0,17.0,6.0,16.0,8.0,100.0,21:30,5:30,public transport,red,8.0,23.0,0.2608695652173913
4240,1,No,Arts,Auditory,EJH505,Female,Yes,58.0,24.0,0.0,16.0,11.0,97.0,21:00,5:00,public transport,blue,8.0,24.0,0.0
4241,0,Yes,Clubs,Auditory,P4F29Y,Female,No,62.0,4.0,12.0,16.0,8.0,92.0,21:00,5:00,public transport,red,8.0,16.0,0.75
4242,0,No,Clubs,Auditory,B8AXKM,Female,Yes,83.0,3.0,20.0,16.0,7.0,90.0,21:30,5:30,public transport,black,8.0,23.0,0.8695652173913043
4243,1,No,Clubs,Visual,UY63T5,Male,Y,73.0,24.0,0.0,16.0,16.0,91.0,23:00,7:00,walk,green,8.0,24.0,0.0
4244,2,No,Arts,Visual,F38WWU,Female,Yes,59.0,5.0,17.0,16.0,19.0,91.0,21:00,5:00,public transport,yellow,8.0,22.0,0.7727272727272727
4245,0,No,Clubs,Auditory,451ZSB,Female,Yes,55.0,19.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,yellow,8.0,21.0,0.09523809523809523
4246,1,No,Arts,Auditory,L6PI2S,Female,Yes,64.0,18.0,6.0,15.0,7.0,99.0,22:30,6:30,private transport,blue,8.0,24.0,0.25
4247,1,No,Sports,Auditory,T6LA1U,Male,No,58.0,12.0,19.0,15.0,15.0,90.0,22:00,6:00,private transport,yellow,8.0,31.0,0.6129032258064516
4248,0,No,Arts,Visual,31PXJR,Male,Yes,94.0,20.0,3.0,16.0,5.0,95.0,21:30,5:30,public transport,white,8.0,23.0,0.13043478260869565
4249,0,No,None,Auditory,PLJ17T,Male,No,65.0,18.0,3.0,15.0,13.0,99.0,21:30,5:30,public transport,green,8.0,21.0,0.14285714285714285
4250,0,No,Clubs,Visual,VLVGUJ,Male,Yes,67.0,20.0,0.0,16.0,12.0,93.0,21:30,5:30,public transport,yellow,8.0,20.0,0.0
4251,2,No,Clubs,Auditory,LM1SYH,Male,Yes,61.0,12.0,8.0,16.0,7.0,95.0,21:30,5:30,public transport,green,8.0,20.0,0.4
4252,0,No,Clubs,Auditory,8KRYT5,Male,Yes,87.0,13.0,9.0,15.0,9.0,92.0,23:00,7:00,walk,red,8.0,22.0,0.4090909090909091
4253,0,No,Sports,Auditory,YYYCG1,Male,Yes,70.0,18.0,4.0,15.0,10.0,93.0,21:00,5:00,public transport,green,8.0,22.0,0.18181818181818182
4254,1,No,Sports,Visual,6RN8ON,Female,Yes,59.0,0.0,28.0,16.0,18.0,91.0,21:00,5:00,public transport,green,8.0,28.0,1.0
4255,1,No,Arts,Auditory,TXY02I,Female,Yes,65.0,16.0,12.0,15.0,16.0,94.0,21:00,5:00,public transport,green,8.0,28.0,0.42857142857142855
4256,1,No,Arts,Auditory,AOBQNB,Female,No,62.0,3.0,26.0,16.0,14.0,100.0,22:00,6:00,private transport,white,8.0,29.0,0.896551724137931
4257,1,No,Clubs,Auditory,CT3JMF,Male,No,51.0,19.0,5.0,,5.0,95.0,22:30,6:30,private transport,white,8.0,24.0,0.20833333333333334
4258,2,No,Arts,Visual,H8J9PJ,Female,No,74.0,17.0,2.0,16.0,6.0,95.0,22:00,6:00,private transport,green,8.0,19.0,0.10526315789473684
4259,1,Yes,Sports,Auditory,DBYOLB,Female,No,55.0,8.0,17.0,16.0,7.0,98.0,22:00,6:00,private transport,white,8.0,25.0,0.68
4260,1,Yes,Clubs,Visual,259MIA,Male,No,58.0,26.0,1.0,16.0,11.0,96.0,22:00,6:00,private transport,blue,8.0,27.0,0.037037037037037035
4261,1,No,Sports,Auditory,DABP65,Female,Yes,64.0,6.0,22.0,15.0,7.0,92.0,22:30,6:30,private transport,black,8.0,28.0,0.7857142857142857
4262,0,No,None,Auditory,M811KO,Female,Y,73.0,20.0,1.0,15.0,20.0,98.0,21:00,5:00,public transport,green,8.0,21.0,0.047619047619047616
4263,2,No,None,Visual,BKGUDU,Female,No,72.0,13.0,9.0,15.0,11.0,91.0,22:30,6:30,private transport,blue,8.0,22.0,0.4090909090909091
4265,2,Yes,Clubs,Visual,FICU71,Male,Yes,76.0,13.0,1.0,16.0,18.0,93.0,0:00,7:00,walk,yellow,7.0,14.0,0.07142857142857142
4266,1,No,Clubs,Auditory,EKNEFX,Female,No,61.0,20.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,black,8.0,27.0,0.25925925925925924
4267,0,No,Arts,Auditory,JMOYOY,Female,Yes,72.0,15.0,6.0,15.0,19.0,96.0,21:30,5:30,public transport,red,8.0,21.0,0.2857142857142857
4268,0,No,None,Visual,YO9J4Y,Male,No,82.0,14.0,10.0,15.0,7.0,91.0,21:00,5:00,public transport,green,8.0,24.0,0.4166666666666667
4269,2,Yes,Clubs,Visual,23YHRT,Male,No,70.0,10.0,5.0,16.0,18.0,93.0,21:30,5:30,public transport,black,8.0,15.0,0.3333333333333333
4270,2,Yes,Sports,Visual,ISQ393,Male,Yes,79.0,13.0,1.0,16.0,8.0,97.0,21:30,5:30,public transport,blue,8.0,14.0,0.07142857142857142
4271,0,Yes,None,Visual,5G9E7W,Female,Yes,84.0,5.0,12.0,15.0,7.0,100.0,22:30,6:30,private transport,red,8.0,17.0,0.7058823529411765
4273,2,No,None,Auditory,6GLEJK,Female,Yes,72.0,2.0,19.0,15.0,10.0,90.0,22:00,6:00,private transport,red,8.0,21.0,0.9047619047619048
4274,1,No,None,Auditory,BU61JL,Male,Y,66.0,21.0,7.0,15.0,10.0,92.0,21:30,5:30,public transport,blue,8.0,28.0,0.25
4275,2,No,Arts,Auditory,TIZ8JL,Male,Yes,60.0,19.0,3.0,15.0,14.0,92.0,21:00,5:00,public transport,red,8.0,22.0,0.13636363636363635
4276,0,No,Arts,Auditory,VZGD48,Male,No,89.0,21.0,1.0,16.0,6.0,93.0,22:30,6:30,private transport,green,8.0,22.0,0.045454545454545456
4277,1,No,Sports,Auditory,VPJ7B6,Female,Yes,58.0,7.0,17.0,15.0,17.0,96.0,22:30,6:30,private transport,white,8.0,24.0,0.7083333333333334
4278,1,No,Arts,Auditory,M84UVI,Female,Yes,61.0,5.0,23.0,16.0,20.0,96.0,21:00,5:00,public transport,red,8.0,28.0,0.8214285714285714
4279,1,No,Arts,Visual,6N9GRC,Male,No,47.0,19.0,11.0,16.0,14.0,91.0,21:00,5:00,public transport,blue,8.0,30.0,0.36666666666666664
4280,1,Yes,Arts,Auditory,4DSHJ4,Female,No,47.0,3.0,22.0,15.0,1.0,91.0,22:30,6:30,private transport,yellow,8.0,25.0,0.88
4281,1,No,Arts,Auditory,V09LKD,Male,No,44.0,26.0,2.0,16.0,6.0,43.0,3:00,7:00,walk,green,4.0,28.0,0.07142857142857142
4282,0,No,Arts,Auditory,A7E99I,Female,No,61.0,6.0,16.0,15.0,12.0,,23:00,7:00,walk,green,8.0,22.0,0.7272727272727273
4283,2,No,Sports,Auditory,XDQY2H,Male,N,42.0,16.0,8.0,15.0,8.0,92.0,21:00,5:00,public transport,red,8.0,24.0,0.3333333333333333
4284,1,Yes,None,Visual,95N8JX,Male,Yes,76.0,15.0,2.0,15.0,10.0,97.0,23:00,7:00,walk,green,8.0,17.0,0.11764705882352941
4285,1,No,Clubs,Auditory,JLZ4ZR,Male,No,44.0,15.0,13.0,15.0,10.0,83.0,22:30,6:30,private transport,black,8.0,28.0,0.4642857142857143
4286,2,Yes,Arts,Visual,FFRXTM,Male,Yes,83.0,13.0,5.0,16.0,6.0,98.0,22:00,6:00,private transport,blue,8.0,18.0,0.2777777777777778
4287,0,Yes,None,Auditory,AUZ25N,Male,Y,71.0,12.0,4.0,16.0,18.0,96.0,22:30,6:30,private transport,red,8.0,16.0,0.25
4288,1,Yes,Arts,Auditory,QBNJKU,Male,Yes,75.0,12.0,9.0,16.0,6.0,98.0,23:00,7:00,walk,blue,8.0,21.0,0.42857142857142855
4289,2,No,None,Auditory,MDYCL2,Female,Yes,73.0,6.0,17.0,15.0,19.0,91.0,23:00,7:00,walk,white,8.0,23.0,0.7391304347826086
4290,0,Yes,Arts,Visual,CLZ5ZI,Male,No,83.0,16.0,2.0,15.0,8.0,93.0,23:00,7:00,walk,red,8.0,18.0,0.1111111111111111
4291,0,No,None,Visual,GEOUBN,Female,Yes,67.0,1.0,19.0,15.0,17.0,,22:30,6:30,private transport,black,8.0,20.0,0.95
4292,2,No,Clubs,Auditory,JVSV3N,Male,No,51.0,16.0,6.0,15.0,10.0,91.0,21:00,5:00,public transport,white,8.0,22.0,0.2727272727272727
4293,1,No,Clubs,Visual,Y20HC9,Female,Yes,57.0,22.0,2.0,16.0,11.0,98.0,23:00,7:00,walk,green,8.0,24.0,0.08333333333333333
4295,2,Yes,Sports,Auditory,Y7Y3SE,Male,Yes,58.0,14.0,2.0,15.0,11.0,96.0,23:00,7:00,walk,yellow,8.0,16.0,0.125
4296,2,No,Clubs,Visual,9ZRD8P,Male,No,51.0,19.0,3.0,16.0,8.0,97.0,21:00,5:00,public transport,blue,8.0,22.0,0.13636363636363635
4297,1,No,Arts,Auditory,K0DDSW,Male,No,56.0,17.0,14.0,16.0,15.0,99.0,22:00,6:00,private transport,red,8.0,31.0,0.45161290322580644
4298,2,Yes,Sports,Auditory,DYYPL1,Male,No,62.0,15.0,1.0,15.0,10.0,95.0,21:00,5:00,public transport,yellow,8.0,16.0,0.0625
4299,1,No,Sports,Visual,M01V9S,Male,Yes,63.0,24.0,4.0,16.0,11.0,97.0,22:00,6:00,private transport,red,8.0,28.0,0.14285714285714285
4300,1,Yes,Arts,Visual,OBS8TD,Male,Yes,95.0,19.0,2.0,15.0,9.0,,21:30,5:30,public transport,white,8.0,21.0,0.09523809523809523
4301,0,No,Arts,Auditory,FWHZ6I,Female,Yes,75.0,15.0,7.0,16.0,6.0,96.0,23:00,7:00,walk,red,8.0,22.0,0.3181818181818182
4302,2,Yes,Arts,Auditory,BNU71K,Female,Yes,43.0,16.0,6.0,15.0,7.0,92.0,23:00,7:00,walk,blue,8.0,22.0,0.2727272727272727
4303,0,No,Clubs,Auditory,02RSAH,Female,Yes,64.0,12.0,9.0,15.0,17.0,97.0,22:00,6:00,private transport,yellow,8.0,21.0,0.42857142857142855
4304,0,Yes,None,Visual,FB9O87,Female,Yes,83.0,10.0,6.0,15.0,8.0,97.0,22:30,6:30,private transport,blue,8.0,16.0,0.375
4305,0,No,Arts,Auditory,55SHKZ,Female,No,68.0,5.0,22.0,15.0,6.0,95.0,23:00,7:00,walk,red,8.0,27.0,0.8148148148148148
4306,1,Yes,None,Auditory,A1LZG1,Male,Yes,69.0,14.0,5.0,15.0,13.0,93.0,23:00,7:00,walk,black,8.0,19.0,0.2631578947368421
4307,0,Yes,None,Visual,YYFK51,Female,No,83.0,1.0,14.0,15.0,7.0,94.0,21:00,5:00,public transport,blue,8.0,15.0,0.9333333333333333
4308,1,Yes,Clubs,Auditory,IIDGER,Female,Yes,75.0,11.0,6.0,16.0,10.0,90.0,22:30,6:30,private transport,blue,8.0,17.0,0.35294117647058826
4309,0,No,Arts,Auditory,US95CA,Male,Yes,81.0,17.0,4.0,16.0,10.0,97.0,22:30,6:30,private transport,black,8.0,21.0,0.19047619047619047
4310,0,No,Clubs,Auditory,1VVKME,Male,Yes,66.0,18.0,2.0,15.0,10.0,98.0,22:00,6:00,private transport,red,8.0,20.0,0.1
4311,0,No,None,Auditory,MT0ORB,Male,Yes,94.0,14.0,11.0,16.0,7.0,95.0,22:30,6:30,private transport,yellow,8.0,25.0,0.44
4312,0,No,Clubs,Auditory,FVPWY6,Female,No,95.0,20.0,5.0,16.0,6.0,96.0,22:00,6:00,private transport,red,8.0,25.0,0.2
4313,2,No,None,Auditory,8VDIJD,Male,Yes,71.0,12.0,11.0,16.0,11.0,94.0,22:30,6:30,private transport,black,8.0,23.0,0.4782608695652174
4314,0,No,Sports,Visual,I3MHJH,Male,Yes,73.0,12.0,16.0,16.0,19.0,97.0,21:30,5:30,public transport,blue,8.0,28.0,0.5714285714285714
4315,2,No,None,Visual,O96105,Male,No,40.0,13.0,9.0,16.0,3.0,92.0,22:30,6:30,private transport,white,8.0,22.0,0.4090909090909091
4316,1,No,Clubs,Auditory,GUCWIN,Male,Yes,45.0,20.0,4.0,15.0,3.0,98.0,23:00,7:00,walk,black,8.0,24.0,0.16666666666666666
4317,0,No,Sports,Auditory,IGA1T5,Male,No,64.0,13.0,14.0,15.0,19.0,99.0,21:00,5:00,public transport,white,8.0,27.0,0.5185185185185185
4318,2,No,Arts,Auditory,LZ5E59,Female,No,57.0,18.0,1.0,16.0,10.0,,23:00,7:00,walk,blue,8.0,19.0,0.05263157894736842
4319,1,No,Arts,Visual,3NFE9T,Male,Yes,67.0,19.0,5.0,16.0,11.0,94.0,23:00,7:00,walk,green,8.0,24.0,0.20833333333333334
4320,1,Yes,None,Auditory,NCXMI9,Male,Y,75.0,15.0,5.0,16.0,14.0,96.0,21:00,5:00,public transport,yellow,8.0,20.0,0.25
4321,1,No,Clubs,Auditory,BZXUC8,Female,No,39.0,6.0,22.0,15.0,7.0,95.0,21:00,5:00,public transport,blue,8.0,28.0,0.7857142857142857
4322,1,Yes,None,Auditory,OQQSIQ,Male,Yes,70.0,11.0,10.0,16.0,6.0,100.0,21:00,5:00,public transport,red,8.0,21.0,0.47619047619047616
4324,1,Yes,Clubs,Visual,TBXYR7,Female,Yes,57.0,5.0,22.0,16.0,12.0,92.0,21:30,5:30,public transport,white,8.0,27.0,0.8148148148148148
4325,1,Yes,Arts,Visual,LEPHXL,Male,No,55.0,26.0,1.0,15.0,6.0,99.0,21:30,5:30,public transport,black,8.0,27.0,0.037037037037037035
4326,1,No,Clubs,Auditory,1WOKBI,Male,No,55.0,11.0,19.0,16.0,5.0,97.0,22:00,6:00,private transport,green,8.0,30.0,0.6333333333333333
4327,0,No,Arts,Visual,QQTS02,Female,No,52.0,18.0,2.0,15.0,5.0,91.0,21:30,5:30,public transport,blue,8.0,20.0,0.1
4328,2,No,None,Auditory,WKSTVV,Female,Yes,71.0,3.0,16.0,15.0,10.0,98.0,23:00,7:00,walk,red,8.0,19.0,0.8421052631578947
4329,2,No,Clubs,Auditory,V8CFFC,Female,Yes,70.0,19.0,0.0,15.0,14.0,94.0,22:00,6:00,private transport,blue,8.0,19.0,0.0
4330,0,No,None,Auditory,PC2MEW,Male,No,63.0,12.0,15.0,15.0,11.0,94.0,21:00,5:00,public transport,blue,8.0,27.0,0.5555555555555556
4331,1,No,None,Auditory,ITQYW8,Male,Yes,63.0,19.0,9.0,16.0,20.0,96.0,23:00,7:00,walk,green,8.0,28.0,0.32142857142857145
4332,0,No,Sports,Visual,UEC5NE,Female,No,76.0,23.0,4.0,15.0,6.0,95.0,21:30,5:30,public transport,blue,8.0,27.0,0.14814814814814814
4333,1,No,Clubs,Auditory,U2I5CN,Female,Yes,49.0,25.0,4.0,15.0,6.0,98.0,21:00,5:00,public transport,white,8.0,29.0,0.13793103448275862
4334,2,No,None,Auditory,L86SQT,Male,Yes,68.0,12.0,7.0,15.0,5.0,98.0,21:30,5:30,public transport,black,8.0,19.0,0.3684210526315789
4335,1,Yes,Clubs,Visual,4EOAFN,Female,Yes,54.0,7.0,18.0,16.0,14.0,96.0,22:30,6:30,private transport,black,8.0,25.0,0.72
4336,1,No,Arts,Auditory,70GDYM,Female,Yes,69.0,26.0,2.0,15.0,14.0,91.0,21:00,5:00,public transport,black,8.0,28.0,0.07142857142857142
4337,1,No,Clubs,Auditory,T9LPWE,Female,N,49.0,15.0,14.0,16.0,8.0,53.0,0:00,5:00,public transport,blue,5.0,29.0,0.4827586206896552
4339,1,Yes,None,Visual,78UQPA,Female,Yes,91.0,11.0,10.0,16.0,10.0,93.0,21:00,5:00,public transport,red,8.0,21.0,0.47619047619047616
4340,1,Yes,None,Visual,27MWLG,Female,Yes,76.0,0.0,17.0,16.0,16.0,90.0,21:00,5:00,public transport,green,8.0,17.0,1.0
4342,1,No,Clubs,Auditory,2EO6UP,Female,Yes,62.0,11.0,17.0,16.0,8.0,93.0,22:30,6:30,private transport,green,8.0,28.0,0.6071428571428571
4343,0,No,Arts,Auditory,8EVNTK,Female,No,93.0,19.0,3.0,15.0,8.0,99.0,21:00,5:00,public transport,red,8.0,22.0,0.13636363636363635
4344,0,No,None,Auditory,G07AUB,Female,No,61.0,22.0,0.0,15.0,14.0,92.0,22:30,6:30,private transport,green,8.0,22.0,0.0
4345,1,Yes,Clubs,Auditory,DWD5H1,Male,No,47.0,19.0,6.0,15.0,12.0,94.0,22:30,6:30,private transport,green,8.0,25.0,0.24
4346,2,No,Clubs,Auditory,FKUBD7,Male,Yes,55.0,12.0,6.0,16.0,9.0,91.0,21:00,5:00,public transport,blue,8.0,18.0,0.3333333333333333
4347,1,Yes,None,Auditory,ARG1CI,Female,Yes,70.0,2.0,19.0,15.0,19.0,90.0,22:00,6:00,private transport,blue,8.0,21.0,0.9047619047619048
4348,0,No,Arts,Auditory,1JF0BW,Female,No,54.0,12.0,9.0,16.0,8.0,93.0,21:30,5:30,public transport,yellow,8.0,21.0,0.42857142857142855
4349,0,Yes,Clubs,Visual,WNCI4I,Male,No,77.0,10.0,8.0,15.0,8.0,93.0,22:00,6:00,private transport,black,8.0,18.0,0.4444444444444444
4350,2,No,Arts,Auditory,O2VMPN,Male,No,62.0,13.0,10.0,16.0,12.0,98.0,22:30,6:30,private transport,blue,8.0,23.0,0.43478260869565216
4351,0,No,None,Visual,XDZX2Z,Male,Yes,73.0,22.0,6.0,15.0,6.0,91.0,22:00,6:00,private transport,blue,8.0,28.0,0.21428571428571427
